model,url,price,Milage,fuel,Type,max_price
Mercedes-Benz GLC Coupe,https://www.cardekho.com/mercedes-benz/glc-coupe,Rs.72.50 - 73.50 Lakh* ,12.74 to 16.34 kmp,Petrol,None,7350000.0
Mercedes-Benz G-Class,https://www.cardekho.com/mercedes-benz/g-class,Rs.2.55 Cr* ,None,None,None,25500000.0
Mercedes-Benz A-Class Limousine,https://www.cardekho.com/mercedes-benz/a-class-limousine,Rs.42 - 44 Lakh* ,None,Petrol,None,4400000.0
Mercedes-Benz AMG A 45 S,https://www.cardekho.com/mercedes-benz/amg-a-45-s,Rs.92.50 Lakh* ,None,Petrol,None,9250000.0
Mercedes-Benz AMG GLE 53,https://www.cardekho.com/mercedes-benz/amg-gle-53,Rs.1.71 Cr* ,None,Petrol,None,17100000.0
Mercedes-Benz EQB,https://www.cardekho.com/mercedes-benz/eqb,Rs.77.50 Lakh* ,None,None,None,7750000.0
Mercedes-Benz AMG GLC 43,https://www.cardekho.com/mercedes-benz/amg-glc-43,Rs.87 Lakh* ,None,Petrol,None,8700000.0
Mercedes-Benz EQC,https://www.cardekho.com/mercedes-benz/eqc,Rs.99.50 Lakh* ,None,None,None,9950000.0
Mercedes-Benz AMG A 35,https://www.cardekho.com/mercedes-benz/amg-a-35,Rs.58 Lakh* ,None,Petrol,None,5800000.0
Mercedes-Benz AMG E 53 Cabriolet,https://www.cardekho.com/mercedes-benz/amg-e-53-cabriolet,Rs.1.30 Cr* ,None,Petrol,None,13000000.0
Mercedes-Benz AMG E 63,https://www.cardekho.com/mercedes-benz/amg-e-63,Rs.1.77 Cr* ,8.62 kmplAutomatic,Petrol,None,17700000.0
Mercedes-Benz AMG GLA 35,https://www.cardekho.com/mercedes-benz/amg-gla-35,Rs.63.50 Lakh* ,None,Petrol,None,6350000.0
Mercedes-Benz AMG GT 4 Door Coupe,https://www.cardekho.com/mercedes-benz/amg-gt-4-door-coupe,Rs.3.30 Cr* ,None,Petrol,None,33000000.0
Mercedes-Benz GLC 2023,https://www.cardekho.com/mercedes-benz/glc-2023,Rs60 Lakh* ,None,None,None,6000000.0
Mercedes-Benz EQA,https://www.cardekho.com/mercedes-benz/eqa,Rs60 Lakh* ,None,None,None,6000000.0
Mercedes-Benz GLC Coupe 2023,https://www.cardekho.com/mercedes-benz/glc-coupe-2023,Rs65 Lakh* ,None,None,None,6500000.0
Mercedes-Benz EQE SUV,https://www.cardekho.com/mercedes-benz/eqe-suv,Rs1.25 Cr* ,None,None,None,12500000.0
Mercedes-Benz GLA 2024,https://www.cardekho.com/mercedes-benz/gla-2024,Rs48 Lakh* ,None,None,None,4800000.0
Jeep Compass,https://www.cardekho.com/jeep/compass,Rs.21.44 - 29.44 Lakh* ,14.1 to 17.1 kmp,Petrol,Manual/Automatic,2944000.0
Jeep Wrangler,https://www.cardekho.com/jeep/wrangler,Rs.59.05 - 63.05 Lakh* ,12.1 kmplAutomatic,Petrol,None,6305000.0
Jeep Meridian,https://www.cardekho.com/jeep/meridian,Rs.32.95 - 38.52 Lakh* ,None,None,Manual/Automatic,3852000.0000000005
Jeep Grand Cherokee,https://www.cardekho.com/jeep/grand-cherokee,Rs.78.50 Lakh* ,None,Petrol,None,7850000.0
Jeep Renegade,https://www.cardekho.com/jeep/renegade,Rs10 Lakh* ,None,None,None,1000000.0
Jeep Sub-4m SUV,https://www.cardekho.com/jeep/sub-4m-suv,Rs10 Lakh* ,None,None,None,1000000.0
Jeep Wrangler 2024,https://www.cardekho.com/jeep/wrangler-2024,Rs65 Lakh* ,None,None,None,6500000.0
Jeep Avenger,https://www.cardekho.com/jeep/avenger,Rs50 Lakh* ,None,None,None,5000000.0
Nissan Magnite,https://www.cardekho.com/nissan/magnite,Rs.6 - 11.02 Lakh* ,20.0 kmplManual,Petrol,Manual/Automatic,1102000.0
Nissan Kicks,https://www.cardekho.com/nissan/kicks,Rs.9.50 - 14.90 Lakh* ,14.23 kmplManual,Petrol,Manual/Automatic,1490000.0
Nissan X-Trail,https://www.cardekho.com/carmodels/Nissan/Nissan_X-Trail,Rs40 Lakh* ,None,None,None,4000000.0
Nissan Qashqai,https://www.cardekho.com/nissan/qashqai,Rs30 Lakh* ,None,None,None,3000000.0
